time,day,area,year,air_temp
15,20,srimangal,1982,299.6809492
18,20,srimangal,1982,297.2065597
21,20,srimangal,1982,293.7072153
0,21,srimangal,1982,291.2328296
3,21,srimangal,1982,287.7335039
6,21,srimangal,1982,284.5890218
9,21,srimangal,1982,288.1950767
12,21,srimangal,1982,295.8448114
15,21,srimangal,1982,299.4509782
18,21,srimangal,1982,296.9010872
21,21,srimangal,1982,293.2949667
0,22,srimangal,1982,290.7450797
3,22,srimangal,1982,287.1389784
6,22,srimangal,1982,284.4690034
9,22,srimangal,1982,288.1430055
12,22,srimangal,1982,295.9368805
15,22,srimangal,1982,299.6109966
18,22,srimangal,1982,297.0130592
21,22,srimangal,1982,293.3389903
0,23,srimangal,1982,290.7410569
3,23,srimangal,1982,287.0670076
6,23,srimangal,1982,283.9888849
9,23,srimangal,1982,288.0996904
12,23,srimangal,1982,296.820182
15,23,srimangal,1982,300.9311151
18,23,srimangal,1982,298.024308
21,23,srimangal,1982,293.9134277
0,24,srimangal,1982,291.0066251
3,24,srimangal,1982,286.8957668
6,24,srimangal,1982,285.138927
9,24,srimangal,1982,289.0944246
12,24,srimangal,1982,297.4854526
15,24,srimangal,1982,301.441073
18,24,srimangal,1982,298.6440862
21,24,srimangal,1982,294.6885166
0,25,srimangal,1982,291.8915342
3,25,srimangal,1982,287.9359857
6,25,srimangal,1982,285.2488836
9,25,srimangal,1982,289.3645425
12,25,srimangal,1982,298.0953298
15,25,srimangal,1982,302.2111164
18,25,srimangal,1982,299.3008774
21,25,srimangal,1982,295.1851437
0,26,srimangal,1982,292.2749092
3,26,srimangal,1982,288.1591974
6,26,srimangal,1982,285.3487565
9,26,srimangal,1982,289.9327657
12,26,srimangal,1982,299.657092
15,26,srimangal,1982,304.2412435
18,26,srimangal,1982,300.9998275
21,26,srimangal,1982,296.4157349
0,27,srimangal,1982,293.174324
3,27,srimangal,1982,288.5902559
6,27,srimangal,1982,286.6589376
9,27,srimangal,1982,290.5756082
12,27,srimangal,1982,298.8842702
15,27,srimangal,1982,302.8010624
18,27,srimangal,1982,300.0315307
21,27,srimangal,1982,296.1147889
0,28,srimangal,1982,293.3452615
3,28,srimangal,1982,289.4285405
6,28,srimangal,1982,287.1089955
9,28,srimangal,1982,290.8121178
12,28,srimangal,1982,298.6677673
15,28,srimangal,1982,302.3710045
18,28,srimangal,1982,299.7524758
21,28,srimangal,1982,296.0492861
0,29,srimangal,1982,293.4307615
3,29,srimangal,1982,289.7275916
6,29,srimangal,1982,286.2189889
9,29,srimangal,1982,289.9463781
12,29,srimangal,1982,297.8535062
15,29,srimangal,1982,301.5810111
18,29,srimangal,1982,298.9453229
21,29,srimangal,1982,295.217866
0,30,srimangal,1982,292.5821819
3,30,srimangal,1982,288.8547448
6,30,srimangal,1982,285.0589863
9,30,srimangal,1982,288.7960822
12,30,srimangal,1982,296.7238018
15,30,srimangal,1982,300.4610137
18,30,srimangal,1982,297.8184618
21,30,srimangal,1982,294.0812979
0,31,srimangal,1982,291.4387501
3,31,srimangal,1982,287.7016062
6,31,srimangal,1982,286.2489823
9,31,srimangal,1982,290.0006383
12,31,srimangal,1982,297.9592452
15,31,srimangal,1982,301.7110177
18,31,srimangal,1982,299.0581701
21,31,srimangal,1982,295.3064458
0,32,srimangal,1982,292.6536024
3,32,srimangal,1982,288.9018981
6,32,srimangal,1982,287.4192239
9,32,srimangal,1982,290.2802863
12,32,srimangal,1982,296.3496249
15,32,srimangal,1982,299.2107761
18,32,srimangal,1982,297.1876795
21,32,srimangal,1982,294.3265651
0,33,srimangal,1982,292.3034717
